level,type,prompt,topic,points,option_a,option_b,option_c,option_d,correct,fill_answers,fill_case_sensitive
A2,MC,My father’s sister is my ________.,grammar,1,aunt,stepsister,sister-in-law,,A,,
A2,MC,My sister’s daughter is my ________.,grammar,1,cousin,niece,stepsister,,B,,
A2,MC,Where do you come from?,grammar,1,Liverpool,teacher,German,,A,,
A2,MC,There is a large picture ________ the wall.,grammar,1,above,next to,on,,C,,
A2,MC,There is a small table ________ the armchair.,grammar,1,on,next to,between,,B,,
A2,MC,My brother is a doctor and he works in a ________.,grammar,1,ship,hospital,,,B,,
A2,MC,Clare is a waitress in a pizza ________.,grammar,1,restaurant,store,,,A,,
A2,MC,My dad is a teacher so he spends a lot of time in a(n) ________.,grammar,1,office,classroom,,,B,,
A2,MC,Bev is a secretary and works in a(n) ________.,grammar,1,office,store,,,A,,
A2,MC,______________ in a hospital?,grammar,1,Does Harry work,Do Harry work,Does Harry works,,A,,
A2,MC,______________ a dog?,grammar,1,Does Melanie has,Do Melanie have,Does Melanie have,,C,,
A2,MC,Does your son ________ a musical instrument?,grammar,1,do,play,watch,,B,,
A2,MC,Can you ________ tennis?,grammar,1,go to,do,play,,C,,
A2,MC,We often ________ movies on TV.,grammar,1,go,watch,do,,B,,
A2,MC,On Saturdays I always ________ my friends for lunch.,grammar,1,meet,do,play,,A,,
A2,MC,"I ________ computer games with my friends, but I’m not very good at them.",grammar,1,watch,play,do,,B,,
A2,MC,________ go to the theater. It’s expensive!,grammar,1,I often don’t,I don’t often,Often don’t I,,B,,
A2,MC,________ their homework before they watch television.,grammar,1,Our children always do,Our children do always,Always do our children,,A,,
A2,MC,________ dinner at a good restaurant in town.,grammar,1,Sometimes have we,We sometimes have,We have sometimes,,B,,
A2,MC,I need a new phone. ________,grammar,1,There is very old.,This one is very old.,Him is very old.,,B,,
A2,MC,"I’d like ________ bread, please.",grammar,1,a,an,some,,C,,
A2,MC,We don’t need ________ eggs.,grammar,1,any,some,an,,A,,
A2,MC,Do you have ________ chocolate?,grammar,1,some,any,an,,B,,
A2,MC,The children want ________ pasta.,grammar,1,any,some,a,,B,,
A2,MC,My wife and I ________ to France last summer as we went by train.,grammar,1,didn’t drived,didn’t drove,didn’t drive,,C,,
A2,MC,Last summer we ________ to Morocco on vacation.,grammar,1,did fly,flyed,flew,,C,,
A2,MC,My husband ________ me to Costa Rica for my birthday.,grammar,1,took,taked,did take,,A,,
A2,MC,Mount Everest is ________ mountain in the world.,grammar,1,the most highest,the highest,the most higher,,B,,
A2,MC,Stockholm is ________ city in Sweden.,grammar,1,the largest,the most larger,the most largest,,A,,
A2,MC,London is ________ city in Europe.,grammar,1,the most expensive,the more expensive,the expensivest,,A,,
A2,MC,English is ________ subject for me at school.,grammar,1,the most easier,the most easiest,the easiest,,C,,
A2,MC,The road was closed ________ there was heavy snow.,grammar,1,because,so,,,A,,
A2,MC,John ________ light red hair.,grammar,1,is,has,is having,,B,,
A2,MC,I want to save some money ________ a new laptop.,grammar,1,buy,to buy,to buying,,B,,
A2,MC,Are you going to the store ________ groceries?,grammar,1,to getting,get,to get,,C,,
A2,MC,"Adults often think they can’t ________ new things like foreign languages, but it isn’t true.",grammar,1,learn,teach,study,,A,,
A2,MC,Make sure you ________ with you because it’s going to rain soon.,grammar,1,take an umbrella,take a cruise,take a break,,A,,
A2,MC,How ________ is your grandfather?,grammar,1,much,old,"many Read. Choose True if the statement is correct, False if the statement is incorrect, or Not Given if there is no information in the conversation. Sales clerk: Hello, can I help you? Man: Yes, we need two couches for our new house. Woman: One for two people and one for three people. Man: Oh, and we need a chair, too. Sales clerk: What color? Woman: Well, in our living room the carpet and curtains are white. Actually, the walls are white, too. We like white, but I’d like a colorful couch. Sales clerk: What about a red one? Man: Oh, no! I don’t like red. Are there any brown ones? Sales clerk: Yes, there are. Over here. Woman: I don’t really like brown. Look at those yellow ones over here. Aren’t they nice? Man: Yes, they’re very nice. How much are they? Sales clerk: The big one is eight hundred dollars and the small one is six hundred. Man: They’re very expensive! Woman: I know, but they’re so pretty. How about if we don’t buy the chair? Man: I’m not sure. Sales clerk: If you buy both sofas, there is a discount of a hundred and fifty dollars. Woman: And they’ll look so good with the pictures on the walls and the plants … Man: Are you sure these are the couches you want? Woman: Yes, I’m sure. Man: All right, then. We’ll have the couches, but not the chair.",,B,,
A2,MC,The carpet and curtains in the bedrooms are white.,grammar,1,True,False,Not Given,,B,,
A2,MC,The woman agrees that the couches cost a lot of money.,grammar,1,True,False,Not Given,,A,,
A2,MC,The man asks the sales clerk for a discount.,grammar,1,True,False,Not Given,,B,,
